RestaurantName,RestaurantURL,CuisineType
Ratna Cafe,https://www.zomato.com/chennai/ratna-cafe-triplicane?zrp_bid=0&zrp_pid=14,"Chinese, North Indian"
Fruit Shop On Greams Road,https://www.zomato.com/chennai/fruit-shop-on-greams-road-1-thousand-lights?zrp_bid=0&zrp_pid=14,"Sandwich, Burger, Ice Cream, Desserts, Beverages"
Kuuraku,https://www.zomato.com/chennai/kuuraku-vadapalani?zrp_bid=0&zrp_pid=14,Japanese
Basil With A Twist,https://www.zomato.com/chennai/basil-with-a-twist-t-nagar?zrp_bid=0&zrp_pid=14,"Italian, Continental, Salad, Pasta, Beverages, Salad"
Kabab Corner,https://www.zomato.com/chennai/kabab-corner-egmore?zrp_bid=0&zrp_pid=14,"Kebab, Rolls, Mughlai"
Royal Sandwich Shop,https://www.zomato.com/chennai/royal-sandwich-shop-alwarpet?zrp_bid=0&zrp_pid=14,"Sandwich, Fast Food, Beverages, Shake"
Gossip Fusion Bistro,https://www.zomato.com/chennai/gossip-fusion-bistro-kanathur?zrp_bid=0&zrp_pid=14,"Italian, Salad, Seafood, Kerala, North Indian, South Indian"
Murugan Idli Shop,https://www.zomato.com/chennai/murugan-idli-shop-t-nagar?zrp_bid=0&zrp_pid=14,"South Indian, Desserts, Beverages"
BurgerMan,https://www.zomato.com/chennai/burgerman-besant-nagar?zrp_bid=0&zrp_pid=14,"Burger, Fast Food, Salad, Desserts, Beverages"
The Brew Room,https://www.zomato.com/chennai/the-brew-room-alwarpet?zrp_bid=0&zrp_pid=14,"Cafe, Continental, Italian, Desserts"
Royal Indianaa - The Accord Metropolitan,https://www.zomato.com/chennai/royal-indianaa-the-accord-metropolitan-1-t-nagar?zrp_bid=0&zrp_pid=14,"South Indian, North Indian"
